Region code,Region,Year,Gross enrollement ratio - Primary (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Secondary (female),Gross enrollment ratio - Secondary (male),Gross enrollment ratio - Tertiary (female),Gross enrollment ratio - Tertiary (male),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
620,Portugal,2015,108.45450000000001,104.3843,116.37839999999998,120.0425,65.255,57.5895,656.727,778.589,337.507
620,Portugal,2016,107.08,103.32639999999999,115.8974,119.0623,66.3512,59.4799,638.883,766.0519999999999,343.117
624,Guinea-Bissau,2000,87.7895,58.8909,12.353600000000002,22.798099999999998,0,0,150.041,25.779999999999998,0
624,Guinea-Bissau,2005,0,0,0,0,0,0,252.48800000000003,50.507,3.122
624,Guinea-Bissau,2006,0,0,0,0,0,0,269.287,55.176,3.689
624,Guinea-Bissau,2010,122.1161,114.0519,0,0,0,0,278.89,0,0
626,Timor-Leste,2002,0,0,0,0,9.301,8.0817,184.047,52.785000000000004,6.349
626,Timor-Leste,2005,93.18239999999999,85.24110000000002,51.756,53.1832,0,0,177.97,74.82199999999999,0
626,Timor-Leste,2010,121.35499999999999,116.27229999999999,60.763400000000004,60.5592,15.7641,21.887999999999998,230.17499999999998,101.501,18.553
626,Timor-Leste,2014,122.4629,120.7352,64.804,60.29250000000001,0,0,245.847,118.935,0
626,Timor-Leste,2015,117.2713,115.5127,70.3151,65.6849,0,0,243.559,129.314,0
626,Timor-Leste,2017,101.9752,99.134,82.563,76.17249999999999,0,0,222.835,149.883,0
630,Puerto Rico,2010,92.4967,95.7708,85.35,80.7981,103.1966,69.8504,299.746,290.99099999999993,249.372
630,Puerto Rico,2014,87.4294,88.6501,83.79050000000001,78.7088,98.8292,70.0901,258.95799999999997,266.077,241.168
630,Puerto Rico,2015,85.9734,87.47760000000001,89.3478,83.88889999999999,99.4424,70.6979,250.57899999999998,278.964,240.87800000000001
630,Puerto Rico,2016,79.3811,80.952,77.37629999999999,71.96900000000001,97.24650000000001,68.8835,227.548,236.001,233.07
634,Qatar,2005,107.12519999999999,103.723,95.98790000000001,102.3377,31.1154,8.833,69.99100000000001,55.705000000000005,9.699
634,Qatar,2010,104.71220000000001,105.8896,103.26150000000001,99.1892,25.597900000000003,4.8088,88.723,68.924,13.846
634,Qatar,2014,98.01350000000001,100.7764,100.52499999999999,72.62529999999998,39.232600000000005,6.1707,117.45400000000001,88.46600000000001,25.255
634,Qatar,2015,102.4283,103.59740000000001,103.6005,81.9663,43.88459999999999,6.3187,130.464,95.56700000000001,27.866
634,Qatar,2017,104.62889999999999,103.8009,96.3391,77.27829999999999,51.0396,6.5855,146.418,103.042,31.277
642,Romania,2005,109.1661,107.6956,84.5025,82.9273,50.849199999999996,40.2242,970.2950000000001,2089.65,738.8059999999999
642,Romania,2010,98.3252,96.7844,96.8051,97.5829,75.93400000000001,55.3022,842.238,1821.78,999.523
642,Romania,2012,96.96780000000001,95.1352,95.6104,96.8405,56.876,44.9612,807.0469999999999,1714.31,705.333
642,Romania,2014,0,0,92.17339999999999,93.15499999999999,52.700300000000006,42.6678,0,1609.26,578.706
642,Romania,2015,91.12529999999998,89.721,90.6433,91.1951,51.770500000000006,42.1563,947.205,1562.96,541.653
642,Romania,2016,90.00420000000001,88.8617,88.5969,89.2833,53.3024,43.0402,939.1469999999999,1515.24,535.2180000000001
643,Russian Federation,2005,95.17669999999998,95.37029999999999,82.5007,83.3644,84.2501,61.3489,5308.610000000001,12433.16,9003.210000000001
643,Russian Federation,2009,99.0154,99.4528,84.25229999999999,85.6518,86.9327,64.3378,5015.31,9613.55,9330.12
643,Russian Federation,2014,98.31160000000001,99.01110000000001,99.47829999999999,101.536,86.266,71.6013,5725.53,9061.32,6995.73
643,Russian Federation,2015,100.29790000000001,101.0843,103.28829999999999,105.4523,88.4133,72.9953,5982.57,9384.61,6592.42
643,Russian Federation,2016,101.8265,102.3381,104.01910000000001,105.55799999999999,89.3151,74.7209,6198.78,9566.9,6182.3
646,Rwanda,2004,135.38270000000003,134.3791,14.130899999999999,15.5993,1.9912999999999998,3.4909999999999997,1752.59,203.55100000000002,25.233
646,Rwanda,2005,137.1604,138.1351,15.429,17.255499999999998,0,0,1857.84,218.517,27.787
646,Rwanda,2010,143.265,146.9482,32.8357,33.145700000000005,5.0184999999999995,6.4109,2299.3300000000004,425.587,62.734
